#Language,ENGLISH
#Location,en
#Image,en
#StoryText33300,Monsters have various stats.
#StoryText33400,They all have a racial trait that is specific to each race.
#StoryText33500,In addition they have common traits that modify their stats.<br>Those traits can be inherited through mating.
#StoryText33600,If you use this knowledge well, you can breed the best offsprings.

#StoryText07400,The baby girl has grown up.
#StoryText07500,She can now get pregnant and give birth. However, she's still not fully grown.
#StoryText07600,Breastfeeding will help her mature.
#StoryText07700,She's now has a loli figure. If she drinks breast milk, she'll grow into a proper adult.
#StoryText07750,Drag and drop breast milk onto her.
#StoryText07800,<color=#FFFF00>Loli</color> has the <color=#FFFF00>same womb as adults</color> and can also be <color=#FFFF00>impregnated</color>, but their <color=#FF0000>health recovery is slow</color>.

#StoryText33700,<color=#FFFF00>Breast milk</color> has many uses, it can <color=#FFFF00>help a loli grow</color> or <color=#FFFF00>develop new traits</color> in slaves.
#StoryText33800,Let's try using the breast milk obtained this time.
#StoryText33900,Feeding a slave with breast milk has a chance to give them new traits or evolve existing.

#StoryText34000,Feed milk to the slave.
#StoryText34100,One of her traits has improved. In the same way, you can improve traits of any other slave.
#StoryText34200,So, go ahead and breed a race of super-slaves!

#StoryText34300,There is a monster that would be the main product of any trader worth their salt.
#StoryText34400,It's made by restoring an <color=#FFFF00>ancient monster</color> that went extinct from an <color=#FFFF00>origin DNA</color>.
#StoryText34500,First, give this <color=#FFFF00>goblin</color> to <color=#C27AEB>Flora</color> for <color=#FFFF00>dismantling</color>.
#StoryText34600,Did you get the <color=#FFFF00>origin DNA</color>?
#StoryText34700,If you give it to <color=#4DF4E4>Noel</color> next, you can <color=#FFFF00>remake the extinct monster</color>.
#StoryText34800,<color=#FFFF00>Origin DNA</color> is an item that comes out with a <color=#FFFF00>certain probability</color> when dismantling any monster or slave.
#StoryText34900,You can use it to remake all <color=#FFFF00>common monsters and slaves</color> as well as <color=#FFFF00>monsters that got extinct</color> in ancient times.

#StoryText35000,Have you made a large monster?
#StoryText35100,Large monsters require <color=#FFFF00>dedicated cages</color> and <color=#FFFF00>dedicated breeding rooms</color>.
#StoryText35200,And you also need <color=#FFFF00>special slaves</color> to breed them.

#StoryText35300,I'll give you one such special slave as a gift.
#StoryText35400,This slave could carry the child of a large monster.
#StoryText35500,Slaves with <color=#FFFF00>this ability of 3</color> can conceive and <color=#FFFF00>give birth to large monsters</color>.

#StoryText35600,Do you know about <color=#FFFF00>market prices</color>?
#StoryText35700,The <color=#FFFF00>market prices</color> change every <color=#FFFF00>night</color> and <color=#FFFF00>day</color>. Try to follow them.

#StoryText35800,You earn <color=#FFFF00>achievement points</color> when performing <color=#FFFF00>certain actions</color>.
#StoryText35810,You can use those <color=#FFFF00>achievement points</color> to <color=#FFFF00>upgrade abilities of NPCs</color>.
#StoryText35820,There's no order of upgrades, so you can choose what you want to upgrade first.

#StoryText35900,A variety of events occur depending on the player's actions.
#StoryText36000,Since many events interfere with play, play carefully to prevent them from occurring.

#StoryText36100,It's been a long time since I showed my ability.
#StoryText36200,Take that~

#StoryText36300,A slave got an <color=#FF0000>STD</color>.
#StoryText36400,Let's take care of it because if you leave her as is, the disease will spread and the value of your products will decrease.
#StoryText36500,<color=#FFFF00>Stock condoms</color> to prevent that from happening.

#StoryText36600,How about expanding your business from now on?
#StoryText36700,Let's remodel the empty above-ground space and use it as a <color=#FFFF00>brothel</color>.
#StoryText36800,You can now receive clients.

#StoryText36900,But first, let me introduce you to <color=#FFFF00>my colleagues</color>.
#StoryText37000,Sisters <color=#FFD158>Sena</color> and <color=#FFD158>Lena</color> are going to take charge of the brothel's <color=#FFFF00>management and sales</color>.
#StoryText37100,Good morning!
#StoryText37200,Good morning...
#StoryText37300,Then, let's make a brothel success together with them.
#StoryText37400,Come. Let's get started.

#StoryText37500,Well, I'll educate you.
#StoryText37600,Me and my sis will watch over the counter and <color=#FFFF00>guide customers</color> to the <color=#FFFF00>facility of their choice</color>.
#StoryText37700,If you want to profit more, I think it would be better to have a <color=#FFFF00>variety of facilities</color>...
#StoryText37800,We will sell <color=#FFFF00>condoms</color>!
#StoryText37900,Just in case, because they can <color=#FFFF00>prevent</color> <color=#AA0000>STDs</color> from spreading...
#StoryText38000,We will also sell <color=#FFFF00>LoveGel</color>!
#StoryText38100,It softens the insertion and <color=#FFFF00>reduces clients' sex duration</color>...
#StoryText38200,We sell unusual potions, too!
#StoryText38300,<color=#FFFF00>Cosmetic potion</color> can <color=#FFFF00>change appearance</color> of a slave or monster at any time...
#StoryText38400,Now, try building a facility.

#StoryText38500,It's our first client!
#StoryText38600,You have to put a slave in the facility so she can spread her legs for him.
#StoryText38700,We'll take care of the slaves' health, but it's not our responsibility if they run away...
#StoryText38800,So if you want to minimize the damage, you'd better assign slaves with a <color=#FFFF00>highest depravity</color>...

#StoryText38900,If clients like our girls, it will improve our <color=#FFFF00>reputation</color>. The more reputable we are, the <color=#FFFF00>more facilities and clients</color> you will have!
#StoryText39000,So watch your reputation. And don't forget to clean up from time to time!
#StoryText39100,That's it for our explanation. We're looking forward to working with you!
#StoryText39200,Don't forget about us...

#StoryText39300,You can <color=#FFFF00>change appearance of slaves and monsters</color> at will if you give them a Cosmetic Potion.
#StoryText39400,The new appearance from the potion is <color=#FFFF00>inherited by the next generation</color>.

#StoryText39800,Your reputation has improved slightly...
#StoryText39900,I'll arrange for a new service.
#StoryText40000,From now on, you can offer a service to clients who like bestiality.
#StoryText40100,Let's make an animal show room...
#StoryText40200,<color=#A77A23>Horse</color> is treated as a <color=#FFFF00>large monster</color>, and the <color=#FFFF00>same conditions as a large monster</color> are required for its pregnancy.
#StoryText40300,Sena and Lena will automatically sell the animal offsprings for a fixed price.

#StoryText40400,Your reputation has improved some more!
#StoryText40500,I'll arrange for the next service.
#StoryText40600,You can now serve clients who like to watch birth!
#StoryText40700,A room where you can display birth for money has been added.
#StoryText40800,They <color=#FFFF00>cannot give birth to monsters</color> there, only <color=#FFFF00>humans and animals</color> can give birth in the above-ground facilities.

#StoryText40900,Your reputation has improved even more...
#StoryText41000,Here's a new facility and service...
#StoryText41100,You can offer advanced services.

#StoryText41200,Your reputation has gone up a whole lot!
#StoryText41300,Here's a new facility and service...
#StoryText41400,VVIP room offer top-of-the-line service!
#StoryText41500,The VVIP room is a <color=#FFFF00>special facility</color> of which <color=#FFFF00>only one can be built</color> for the public.
#StoryText41600,It's a wealthy-exclusive facility where only <color=#FFFF00>fully deprave slaves</color>, that <color=#FFFF00>don't have any diseases</color>, can be deployed.
#StoryText41700,Up to <color=#FFFF00>two slaves</color> can be assigned, and the girls will dress up fancily.

#StoryText41800,You have a personal estate now. You can enter it by pressing the Estate button.
#StoryText41900,You can build facilities and place slaves or monsters in your personal estate just like in the work estate.
#StoryText42000,Resource consumption does not occur there, and other people do not come inside even if you build a brothel.
#StoryText42100,Instead, there is a Player character, which can be used to create illegitimate children, and bring them back to the work estate.

#StoryText42200,Before you return to work, let's decide on a name for the estate.
#StoryText42300,Please don't give it a dumb name, okay?
#StoryText42400,Come on, don't keep me waiting...

#StoryText42500,You're working hard.
#StoryText42600,I'll give you a slave as a gift.
#StoryText42700,This is a fallen dwarf princess.
#StoryText42800,She was expensive to acquire, but I will still give her to you.
#StoryText42900,Be sure to fill her belly with babies.

#StoryText43000,This girl was a stripper I cherished, but she's got in too much debt.
#StoryText43100,She could never make enough to repay me with just dancing...
#StoryText43200,But if I give her to you, so she could pay back her debt with her womb.
#StoryText43300,Make her birth lots of babies and I'll be satisfied.

#StoryText43400,It's been a long time since I've seen such a hard worker as you.
#StoryText43500,You know, I have needs too...
#StoryText43600,You may now service me sexually.

#StoryText43700,Thanks to you, my work has been successful.
#StoryText43800,As a gift, I will give you a new slave.
#StoryText43900,She's a pure-blood elf and the daughter of the tribe chief. She was my childhood friend, but...<BR>Now I can get my revenge on her for ignoring my pleas when they banished me.
#StoryText44000,My faeries kidnapped her on the night before her marriage.
#StoryText44100,Normally, I would have handed her to Amilia, but I'm offering her to you specifically.
#StoryText44200,Make her birth lots of monsters. Then put her in the brothel and make her birth more elves, then make them serve in the brothel all together!
#StoryText44300,...~Ahh!... *Ahem* ...I got excited. Now, let's get back to work.

#StoryText44400,Seeing that elf whore bare many monsters and children has gotten me horny. 
#StoryText44500,Fuck me!

#StoryText44600,It's the due date~
#StoryText44700,If you <color=#FFFF00>sell the monsters I asked for</color> within this day, the <color=#FFFF00>payment will be complete</color>.
#StoryText44800,Of course, because it's an amortization I won't give you the sale price.

#StoryText44900,Thank you for playing.<BR>That's it for the trial version.<BR>Please buy the full one next.

#StoryText45000,Thanks to you, my research has progressed.
#StoryText45100,I'll give you a new slave that you can breed.
#StoryText45200,She was my lab assistant.
#StoryText45300,Her research results were rather pathetic and she incurred a lot of debt.
#StoryText45400,Because you helped me with my research, you can have her.
#StoryText45500,Please put lots of cute babies inside her womb~

#StoryText45600,Darling, thanks to you, my research has progressed a lot.
#StoryText45700,I hope you'll be satisfied with my body.
#StoryText45800,Now you can enjoy sex with me.

#StoryText45900,Thanks to you, business is going well!
#StoryText46000,I'll give you a present in return.
#StoryText46100,She's a thief who was caught trying to steal from the brothel.
#StoryText46200,I should have disposed of her, but I'll give her to you instead.
#StoryText46300,She can pay me back with by spreading her legs in the very place she tried to steal from!

#StoryText46400,Business seems to be going well.
#StoryText46500,I'll give you a new slave in return.
#StoryText46600,She was our accountant at some point, but was fudging the numbers in her own favour. 
#StoryText46700,Now, she'll use her womb to repay us.
#StoryText46800,Make sure she regrets it. 

#StoryText46900,What a successful business!
#StoryText47000,All these slaves getting fucked day after day... We want to get fucked too!
#StoryText47100,Now you can fuck Sena and Lena.

#StoryText47200,Slaves whose depravity has reached maximum will have <color=#FFFF00>all traits upgraded at random</color>.

#StoryText47300,When a slave reaches the maximum number of births, she becomes <color=#FFFF00>sterile</color>.
#StoryText47400,Slaves who become infertile can't <color=#FFFF00>conceive, give birth, or produce breast milk</color>.
#StoryText47500,Slaves can be sold before becoming sterile, or after using the <color=#FFFF00>Ovum Recovery Potion</color><br>to reset the number of births because <color=#FFFF00>such slaves are more valuable</color>.

#StoryText47600,Oh my...
#StoryText47700,I can't believe you earned this much...
#StoryText47800,The organization is already yours.
#StoryText47900,What's more, all of us, too~<BR>Please take care of us, master~

#StoryText48000,There is a favour gauge for each NPC.
#StoryText48100,Conditions that can fill it can be checked by pressing the heart icon.
#StoryText48200,You can see sex scenes with those NPCs by fully filling their gauges.

#StoryText48300,After you finish the game, the personal estate will be always open.

#MilkText,Breast milk, extracted from an unknown girl.<BR>It is characterized by its complex taste.<BR>Used for the growth of the body, 15% chance for appearance of one of the following characteristics:<BR><color=#63E057>Conception Chance +5%<BR>Growth Time -5s<BR>Maintenance Cost -5G<BR>Max Health +15<BR>Maximum Births +3<BR>Multiple Pregnancy +1</color>
#LoliMilkText,Breast milk, extracted from a loli.<BR>It is characterized by its immature taste.<BR>Used for the growth of the body.
#HumanMilkText,Breast milk, extracted from a human.<BR>It is characterized by its light taste.<BR>Used for the growth of the body, 15% chance for appearance of one of the following characteristics:<BR><color=#63E057>Conception Chance +5%<BR>Growth Time -5s</color>
#ElfMilkText,Breast milk, extracted from an elf.<BR>It is characterized by its lush smell.<BR>Used for the growth of the body, 15% chance for appearance of one of the following characteristics:<BR><color=#63E057>Maintenance Cost -5G<BR>Max Health +15</color>
#DwarfMilkText,Breast milk, extracted from a dwarf.<BR>It is characterized by its greasiness.<BR>Used for the growth of the body, 15% chance for appearance of one of the following characteristics:<BR><color=#63E057>Conception Chance +5%<BR>Maximum Births +3</color>
#FurryMilkText,Breast milk, extracted from a furry.<BR>It is characterized by its taste of nuts.<BR>Used for the growth of the body, 15% chance for appearance of one of the following characteristics:<BR><color=#63E057>Conception Chance +10%<BR>Multiple Pregnancy +1<BR>Growth Time -10s</color>
#SmallFurryMilkText,Breast milk, extracted from a small furry.<BR>It is characterized by its fresh taste.<BR>Used for the growth of the body, 15% chance for appearance of one of the following characteristics:<BR><color=#63E057>Conception Chance +10%<BR>Maximum Births +6<BR>Maintenance Cost -10</color>
#DragonianMilkText,Breast milk, extracted from a dragonian.<BR>It is characterized by its fiery taste.<BR>Used for the growth of the body, 15% chance for appearance of one of the following characteristics:<BR><color=#63E057>Conception Chance +10%<BR>Growth Time -10s<BR>Max Health +20<BR>Maximum Births +6</color>

#Cumshot,Cumshot
#Sex,Sex
#CumshotInside,Inside
#CumshotOutside,Outside
#Tattoo,Tattoo
#Idle,Idle
#Rest,Rest
#Drained,Rest (Exhausted)
#Birth1,Birth1
#Birth2,Birth2
#Birth3,Birth3
#Birth4,Birth4
#Birth5,Birth5
#Birth6,Birth1 (Exhausted)
#Birth7,Birth2 (Exhausted)
#Birth8,Birth3 (Exhausted)
#Birth9,Birth4 (Exhausted)
#Birth10,Birth5 (Exhausted)
#Maid,Maid
#Pose,Pose
#Harem,Harem CG
#Harem2,Harem CG2
#SemenBukakke,Semen (All-over)
#SemenOutside,Semen (Out)
#SemenInside,Semen (In)

#DepravedFace,Depraved
#DepravedFace0,Off
#DepravedFace1,On
#DepravedFaceText,Depraved pose can only be toggled when she's depraved.

#PixySell,Automatic Sale of Children
#StoryText48400,Children of slaves with <color=#FFFF00>Automatic Sale of Children</color> option enabled, will be sold by pixies.

#WarningGameOver2,You didn't pay back your debt!
#HaremClearText,<color=#AEFC9B>Clear conditions:</color><BR><color=#FFFF00>50,000 Gold</color> and <color=#FFFF00>100% favour</color> of all NPCs <color=#FFFF00>before day 51</color>.
#AmiliaSceneClearText,<color=#AEFC9B>Clear condition:</color><BR><color=#FFFF00>100%</color> Amilia's favour.
#FloraSceneClearText,<color=#AEFC9B>Clear condition:</color><BR><color=#FFFF00>100%</color> Flora's favour.
#NielSceneClearText,<color=#AEFC9B>Clear condition:</color><BR><color=#FFFF00>100%</color> Neal's favour.
#SenaLenaSceneClearText,<color=#AEFC9B>Clear condition:</color><BR><color=#FFFF00>100%</color> Sena&Lena's favour.
#AmiliaSceneText,Amilia's Scene
#FloraSceneText,Flora's Scene
#NielSceneText,Noel's Scene
#SenaLenaSceneText,Sena&Lena's Scene

#StoryText48500,In free-play mode, there are no events that interfere with gameplay, so you can enjoy it to the fullest.

#LowPatchVersion,The patch's version is too low so some images may not show; required version: {0} or later.

#PreferenceBestiality,Gimme bestiality! Hehehe...
#PreferenceBirth,Is someone giving a birth?

#No_Sell_favourite,Cannot sell favorite slave or monster.
#No_Dismantle_Favorite,Cannot dismantle favorite slave or monster.

#Skip_Tutorial,Do you want to skip the tutorial?<BR>You can toggle it from the options later.
#LogMessage_Skip_Tutorial,Skipping tutorial...

#Use,Use

#Hotkey17,Zoom In
#Hotkey18,Zoom Out

#Continuous,Continuous
#ChangeAll,Change All
#Looks,Appearance
#Dead,Dead


v2.0.0.0

#SenaLenaAction1Text,<color=#AEFC9B>Click</color> here to purchase a cosmetic potion.
#SenaLenaAction2Text,<color=#AEFC9B>Click</color> here to purchase condoms and lovegels.
#BarbaraAction1Text,You can create a consultation room by filling the room upgrade quota.
#BarbaraAction2Text,<color=#AEFC9B>Click</color> here to upgrade a room.

#Hotkey19,Barbara
#Hotkey20,x1 Speed Play

#SelectNpc,You can choose a partner to help you play. Partners have a different abilities, so choose carefully.

#FloraInformation,Flora is in charge of dismantling slaves and monsters. She can create pixies who automatically care for slaves.
#NielInformation,Noel can make items using by-products. She can also make slaves, monsters, or giant monsters out of rare DNAs.
#SenaLenaInformation,Sena&Lena are in charge of running a brothel. They sell special items that can only be sold there.
#BarbaraInformation,Barbara can upgrade rooms by attaching capabilities to them and can create a device that can fill the depravity bar.

#BarbaraSceneText,Barbara Scene
#AchievementTab9,Blacksmith
#PixyCapsule,Capsule

#Anna,Anna
#Nero,Nero
#Sena,Sena
#Lena,Lena
#Rune,Rune
#Barbara,Barbara

#Tentacle1,Tentacle Breeding
#Tentacle2,Tentacle Birth
#NpcIdle,Idle
#NpcSex,Sex
#NpcBirth,Birth
#Birth,Birth
#BarbaraSceneClearText,<color=#AEFC9B>Clear Condition</color><BR>100% Barbara favour

#Tentacle,Tentacle
#TentacleRoom,Tentacle Room
#Capsule,Capsule
#TentacleBreeding,Tentacle Breeding
#Resurrection,Resurrection

#BuyPrivateEstate,Private estate that the player can use. You can buy it for <sprite index=1>50000.

#Room_ConceptionRate,Conception Chance
#Room_SexTime,Sex Time
#Room_Maintenance,Maintenance
#Room_Cumshot1,Force cum inside
#Room_Cumshot2,Force cum outside
#Room_DecreasingHealthOnSex,Slave's health is consumed during sex
#Room_Fee,Add fee
#Room_Trait,Add 1 fetus trait
#Room_GrowthTime,Growth time
#Room_VenerealDisease,If the product in the cage is infected with STD, it is automatically treated once a day.
#Room_Health,Restore health per second.

#UpgradeBarbara1,Reduces upgrade cost.
#UpgradeBarbara2,Reduces upgrade cost.
#UpgradeBarbara3,Adds a room upgrade stat stock.
#UpgradeBarbara4,Adds a room upgrade stat stock.
#UpgradeBarbara5,Reduces number of enhancements required when crafting a capsule.
#UpgradeBarbara6,Reduces number of enhancements required when crafting a capsule.
#UpgradeBarbara7,Reduces number of enhancements required when crafting a capsule.

#A000073Text,Have Blacksmith 
#A000074Text,<color=#0055FF>{0}</color>/{1} Upgrades
#A000075Text,<color=#0055FF>{0}</color>/{1} Re-upgrades
#A000076Text,<color=#0055FF>{0}</color>/{1} Capsule craftings
#A000077Text,<color=#0055FF>{0}</color>/{1} Favour with Barbara.

#L401Text,Upgrading underground room...
#L402Text,Reupgrading underground room...
#L403Text,Upgrading surface room...
#L404Text,Reupgrading surface room...
#L405Text,Producing capsule...
#L406Text,Corrupting human slave with capsule...
#L407Text,Corrupting elf slave with capsule...
#L408Text,Corrupting dwarf slave with capsule...
#L409Text,Corrupting furry slave with capsule...
#L410Text,Corrupting small furry slave with capsule...
#L411Text,Corrupting dragonian slave with capsule...

#Cannot_Upgraded,Unable to upgrade!
#Downgrade,Downgrade
#No_Mana,Not enough essence.
#No_TentacleEgg,Not enough tentacle eggs.
#Need_Soul,Operation requires {0} Essence.
#No_Scene,You can't see her scene in a depraved state.
#Not_Enough_Upgrade_Count,Not enough upgrades.

#Brainwash,Brainwashing
#Milking,Milking

#Event_51,Oops, my hand slipped
#Event_51_Text,Barbara's hand slipped.<BR>Room upgrade failed.
#Event_52,Slump
#Event_52_Text,Barbara is in a slump.<BR>Blacksmith is unavailable for {0} days.
#Event_53,Not this!
#Event_53_Text,Rune requires a specific essence.<BR>For 1 day, receive only {1} essence for actions of {0}.
#Event_54,Runaway girl
#Event_54_Text,Rune looks around and then dashes out.<BR>The altar cannot be used for {0} days.

#Item138Name,Tentacle Eggs
#Item138Text,Tentacle Eggs

#Trait_103_Name,God's blessing
#Trait_103_Text,When Anna become drained or pregnant, she has 20% chance to be blessed and her body will be in top condition.<BR>Receive one of the following blessings: full health recovery, full breast milk recovery, current birth count reset, or STD cure.
#Trait_104_Name,Brand of Devil
#Trait_104_Text,Optimized for giving birth to creatures of the demon realm, when mating with tentacles, health is not consumed, so continuous mating is possible.
#Trait_105_Name,Sugoi Dekai
#Trait_105_Text,She has huge breasts as her charm point.<BR>Having a breast size one size up from largest increases milk supply.
#Trait_106_Name,Nymphomainiac
#Trait_106_Text,She is an elf who was kicked out of her tribe for being crazy about sex.<BR>She can have sex continuously without taking a break.
#Trait_107_Name,Druggie
#Trait_107_Text,She is always on drugs.<BR>A drug in her blood always restores her health, unless its draining.
#Trait_108_Name,Idiots don't catch colds
#Trait_108_Text,She is stupid and always cheerful and full of energy.<BR>It gives her absolute immunity against STDs.
#Trait_109_Name,Fantastic technique
#Trait_109_Text,Her sex technique is fantastic.<BR>When placed in a brothel, its usage time is halved.
#Trait_110_Name,Masochist
#Trait_110_Text,She is a masochist and enjoys suffering.<BR>Corruption increase is doubled.

#StoryText48600,Let me introduce you to a new <color=#FFFF00>business partner</color> from our organization.
#StoryText48700,Her name is <color=#FFFF00>Barbara</color>. She'll be in charge of <color=#FFFF00>room upgrades</color>.
#StoryText48800,Hi.
#StoryText48900,She can <color=#FFFF00>upgrade rooms by attaching different perks.</color>.
#StoryText49000,Call her whenever you need her.
#StoryText49100,Yeah, do call me.
#StoryText49200,Hi.
#StoryText49300,I'll teach you <color=#FFFF00>how to upgrade a room</color>.
#StoryText49400,<color=#FFFF00>Click here</color>.
#StoryText49500,<color=#FFFF00>Choose the room to upgrade</color>.
#StoryText49600,Then, <color=#FFFF00>the perk will be attached to the room</color>.
#StoryText49700,The more rooms you <color=#FFFF00>upgrade</color>, the more <color=#FFFF00>machines that increase the corruption</color> I'll make as a service.
#StoryText49800,Well then, good luck in the future, colleague.
#StoryText49900,<color=#FFFF00>Choose the room</color> you want to upgrade.
#StoryText50000,The room's <color=#FFFF00>perk</color> is attached randomly, and you can increase the <color=#FFFF00>number of perks up to three</color> through <color=#FFFF00>upgrades</color>.
#StoryText50100,You can <color=#FFFF00>adjust the perks through re-upgrade</color> and <color=#FFFF00>upgrade and re-upgrade consumes Gold</color>. Through <color=#FFFF00>upgrades</color>, you can <color=#FFFF00>reduce the consumption of Gold</color>.
#StoryText50200,I was able to make it thanks to your hard work on upgrades.
#StoryText50300,With this, you can <color=#FFFF00>easily increase slaves' corruption</color>.
#StoryText50400,Take it and install it wherever you want.
#StoryText50500,<color=#FFFF00>Install the torture chamber</color> wherever you want.
#StoryText50600,If you <color=#FFFF00>place a slave in the torture room</color>, their <color=#FFFF00>corruption will increase</color> by a certain number per second.
#StoryText50700,Thanks to you, I am earning so much.
#StoryText50800,I'll do you a service.
#StoryText50900,Amilia gave it to me, but it's useless.
#StoryText51000,I'll just gift it to you. Use  it well.
#StoryText51100,Oh, the profit was very good this time.
#StoryText51200,I'll give you something in return.
#StoryText51300,I picked it up on the way.
#StoryText51400,Use it.
#StoryText51500,After all, money is the best.
#StoryText51600,Thank you.
#StoryText51700,Now you can enjoy sex with Barbara.

#StoryText51800,There was a very strong smell of essence here.
#StoryText51900,Are you... the owner of this place?
#StoryText52000,Nice to meet you, I'm Rune.
#StoryText52100,I can make any wish come true if you give me <color=#FFFF00>essence</color>.
#StoryText52200,Of course, I can lend you my power only for the reasonable amount.
#StoryText52300,The mysterious girl, Rune, has come from another world.
#StoryText52400,She gains <color=#FFFF00>essence</color> from <color=#FFFF00>sex, milking, and childbirth</color> in the manor, and can exchange it for her <color=#FFFF00>abilities</color>.

#StoryText52500,Now, let me introduce you to just a few of my abilities.
#StoryText52600,It's the ability to <color=#FFFF00>resurrect the dead</color>.
#StoryText52700,Let me show you an example...
#StoryText52800,Do you have no dead bodies?
#StoryText52900,If you don't have one, I'll have to make one. Don't worry, I won't use someone from here.
#StoryText53000,<color=#FFFF00>Choose a corpse</color> to <color=#FFFF00>resurrect</color>.
#StoryText53100,<color=#FFFF00>The amount of essence required for each race is different</color>.
#StoryText53200,This is how you can bring the dead back to life.
#StoryText53300,I don't need this anymore...
#StoryText53400,Alright, time for the next ability introduction~
#StoryText53500,Let me introduce you to a very, very cute pet from our world, I call it <color=#FFFF00>tentacle</color>.
#StoryText53600,I wish you had a suitable room.
#StoryText53700,This size is just right for them, don't forget it.
#StoryText53800,To breed <color=#FFFF00>tentacles</color> you need their <color=#FFFF00>eggs</color>. I'll give you some in advance.
#StoryText53900,You can <color=#FFFF00>grow tentacles in the room</color> with them. I'll show you.
#StoryText54000,Let's breed some...
#StoryText54100,What a cute tentacles. They are really, really cute and useful creatures.
#StoryText54200,If you have them, it's <color=#FFFF00>very easy to collect essence</color>.
#StoryText54300,So I hope you make a lot.
#StoryText54400,Keep in mind that to create a tentacle, you need <color=#FFFF00>3 stacks of tentacle eggs</color> and <color=#FFFF00>some essence</color>.
#StoryText54500,Now go and <color=#FFFF00>make a few tentacle eggs</color>.
#StoryText54600,<color=#FFFF00>Try placing a slave in the tentacle room</color>.
#StoryText54700,Tentacles are really all-purpose, so when you put slaves there, you can collect essence without having to <color=#FFFF00>manage them</color>.
#StoryText54800,It will be convenient because <color=#FFFF00>sex, milking, childbirth are all handled in one place</color>.
#StoryText54900,Is the slave <color=#FFFF00>pregnant from a tentacle</color>? She is <color=#FFFF00>going to lay its eggs</color>.
#StoryText54950,Click on the tentacle eggs to retrieve them.
#StoryText55000,The collected eggs <color=#FFFF00>form a stack</color>, if you have <color=#FFFF00>three of them</color>, you can <color=#FFFF00>breed tentacles</color>.
#StoryText55100,Tentacle eggs are really multipurpose: they taste good, restore stamina, and also very useful material.
#StoryText55200,Go on, whether you want to <color=#FFFF00>sell them</color> or <color=#FFFF00>create new tentacles</color> is up to you.
#StoryText55300,If you give me those <color=#FFFF00>eggs</color>, I'll convert them to <color=#FFFF00>essence</color>.
#StoryText55400,When a slave is placed in the tentacle room, <color=#FFFF00>sex, milking, and childbirth</color> are all <color=#FFFF00>automatic</color>.
#StoryText55500,Also, <color=#FFFF00>slaves automatically receive care</color> when placed there.
#StoryText55600,In order to create a tentacle room, you need to <color=#FFFF00>convert breeding room</color>, <color=#FFFF00>3 tentacle egg stacks</color> and <color=#FFFF00>100 essence</color>.
#StoryText55700,That's about it. I'm tired from all this talking.
#StoryText55800,Good luck in the future.
#StoryText55900,You are free to gather all the essence for me.
#StoryText56000,Let me tell you about one of my special abilities.
#StoryText56100,If Rune collects <color=#FFFF00>666, special charges</color> of essence, something will happen.

#StoryText56200,Are you full?
#StoryText56300,Now, it's time for me to go back to my usual self.
#StoryText56400,As promised last time, I'll tell you one of my special moves.
#StoryText56500,Do you have a favorite among the girls here?
#StoryText56600,I'll <color=#FFFF00>brainwash</color> her so she can do whatever you wants.
#StoryText56700,Rune can <color=#FFFF00>brainwash an NPC</color> by consuming <color=#FFFF00>essence 666</color>. The brainwashed NPC will be <color=#FFFF00>placed in your personal territory</color> and can <color=#FFFF00>pregnant the player's child</color>.
#StoryText56800,However, for <color=#FFFF00>brainwashing</color>, <color=#FFFF00>NPC favorability must be Max</color> and <color=#FFFF00>Personal Territory</color> is required.

#StoryText56900,Who are you going to brainwash?
#StoryText57000,You can do whatever you want with them.
#StoryText57100,If you don't think it'll work because she doesn't like you, just try making her like you.
#StoryText57200,Trying to get a girl without a home?
#StoryText57300,Even rainwashing is not omnipotent.

#StoryText57400,Where did you get this from?
#StoryText57500,It is a very good quality mana stone.
#StoryText57600,If it's of this quality, it's probably worth more than <color=#FFFF00>5000 gold</color> on the market.
#StoryText57700,I don't know where you got this from, but anything that makes money is fine.
#StoryText57800,I will buy this mana stone for <color=#FFFF00>5000 gold</color> in the future.

#StoryText57900,Now... it's time to make the wish come true
#StoryText58000,What is this all about?
#StoryText58100,I never said it's <color=#FFFF00>your</color> wish that will come true.
#StoryText58200,You did a good job. Since it's useful, I'll take special <color=#FFFF00>management</color> of you.
#StoryText58300,Let's do our best in the future, partner.

#StoryText58400,You can buy private estate for <sprite index=1>50000 by clicking the Private Estate button.

#RuneEnding,Rune Ending
#RuneClearText,<color=#AEFC9B>Clear Conditions</color><BR>All NPCs brainwashed, 100+ tentacle rooms, 100+ tentacle eggs sold <color=#FFFF00>before 51 day</color>

#UpgradeSterilizationSystem,By sterilizing guests, the corresponding effect is achieved without consuming condoms and lovegels; toggle.

#RaceTentacleText,Tentacles

#DemolitionImmediately,Demolish Immediately

#AllBrainwash,All NPCs are brainwashed.

#Glass,Glass

#Hotkey21,Skip
